Mass	Xsec(pb) for EMu (BR applied)
15	0.46782004536
20	0.44827842346
30	0.39158100254
40	0.31392680598
50	0.221241571474
60	0.12465095364
70	0.04222997388
75	0.01538568675
85	0.0024159997584
90	0.001643333169
95	0.00116134888387
100	0.000826350238698
125	0.000259371583396
150	0.000116597745874
200	3.57786153021e-05
250	1.49950878992e-05
300	7.43681976965e-06
400	2.45309287602e-06
500	1.01479328625e-06
600	4.83348434865e-07
700	2.52158749717e-07
800	1.40763415644e-07
900	8.25461713454e-08
1000	5.04281513305e-08
1100	3.16719268595e-08
1200	2.04280324639e-08
1300	1.34709649929e-08
1400	9.03457771654e-09
1500	6.15318574868e-09
1600	4.25307912669e-09
1700	2.96976001236e-09
1800	2.09509437449e-09
1900	1.49392809594e-09
2000	1.07244649222e-09
